salmon-fish,salmon-fish,🐟Fish,chanorai,,1,fish,
squid,squid,🦞Seafood,market,,1,kg,
shrimp,shrimp,🦞Seafood,market,,1,kg,
fish-roe,fish-roe,🦞Seafood,pizza+,,1,pk,
crab-stick,crab-stick,🦞Seafood,foody,,3,pk,
onion-pickles,onion-pickles,🥒Picked,samu,,1,jar,
capers,capers,🥒Picked,foody,,1,jar,
black-&-green-olives,black-&-green-olives,🥒Picked,foody,,1,jar,
gherkins,gherkins,🥒Picked,pisey,,1,jar,
pink-ginger,pink-ginger,🥒Picked,chanorai,,1,pk,
wasabi,wasabi,🥒Picked,pizza+,,1,box,
rice,rice,🍚Rice,pisey,,1,big,
japanese-rice,japanese-rice,🍚Rice,pizza+,,1,bag,
buckwheat,buckwheat,🍚Rice,pp distributor,,5,kg,
yellow-noodles,yellow-noodles,🍜Noodle,pisey,,2,pk,
spaghetti,spaghetti,🍝Noodle,pisey,,2,pk,
🥟-dumpling-dough,🥟-dumpling-dough,🍞Baking,chinese mart,,2,pk,
🍕-pizza-dough/flour,🍕-pizza-dough/flour,🍞Baking,pisey,,1,big,
🍤-tempura-flour,🍤-tempura-flour,🍞Baking,pisey,,1,pk,
🍞-yeast,🍞-yeast,🍞Baking,pisey,,1,pk,
🍤-breadcrumbs,🍤-breadcrumbs,🍞Baking,pisey,,1,big,
🍔-bun's-(burger-bread),🍔-bun's-(burger-bread),🍞Baking,baker,,1,pk,
🫓-lavash,🫓-lavash,🍞Baking,baker,,1,pk,
green-peas,green-peas,🥫Can,pisey,,2,can,
mushroom-can,mushroom-can,🥫Can,pisey,,3,can,
peeled-tomato,peeled-tomato,🥫Can,pisey,,1,big,
tomato-paste,tomato-paste,🥫Can,pisey,,1,big,
black-&-white-sesame,black-&-white-sesame,🌿Herbs (dried),foody,,1,1 each,
rosemary,rosemary,🌿Herbs (dried),foody,,1,pc,
bay-leaf,bay-leaf,🌿Herbs (dried),foody,,2,pc,
seaweed,seaweed,🌿Herbs (dried),chanorai,,5,pk,
salt,salt,🧂Seasoning,pisey,,1,pk,
sugar,sugar,🧂Seasoning,pisey,,1,pk,
knorr-cubes,knorr-cubes,🧂Seasoning,pisey,,1,box,
knorr-powder,knorr-powder,🧂Seasoning,pisey,,1,pk,
black-pepper,black-pepper,🧂Seasoning,pisey,,1,pk,
cooking-oil,cooking-oil,🧂Seasoning,pisey,,1,big,
olive-oil,olive-oil,🧂Seasoning,sara,,1,bt,
oyster-sauce,oyster-sauce,🫙Sauce,pisey,,1,bt,
sweet-chili-sauce,sweet-chili-sauce,🫙Sauce,pisey,,1,bt,
ketchup-big,ketchup-big,🫙Sauce,pisey,,1,big,
white-vinegar-(chinese),white-vinegar-(chinese),🫙Sauce,pisey,,1,bt,
vinegar-(thai),vinegar-(thai),🫙Sauce,pisey,,1,bt,
fish-sauce,fish-sauce,🫙Sauce,pisey,,1,bt,
khmer-soy-sauce,khmer-soy-sauce,🫙Sauce,pisey,,1,bt,
teryaki-sauce,teryaki-sauce,🫙Sauce,chanorai,,2,bt,
kikkoman-big,kikkoman-big,🫙Sauce,chanorai,,1,big,
mayonnaise,mayonnaise,🫙Sauce,sara,,6,jar,
potato,potato,🥦Veg,pisey,,5,kg,
tomato,tomato,🥦Veg,pisey,,2,kg,
iceberg,iceberg,🥦Veg,pisey,,2,pc,
cucumber-long,cucumber-long,🥦Veg,pisey,,4,pc,
onion,onion,🥦Veg,pisey,,2,kg,
yellow-bellpepper,yellow-bellpepper,🥦Veg,pisey,,2,pc,
red-bellpepper,red-bellpepper,🥦Veg,pisey,,2,pc,
carrot,carrot,🥦Veg,pisey,,2,kg,
cabbage,cabbage,🥦Veg,pisey,,2,kg,
broccoli,broccoli,🥦Veg,pisey,,1,pc,
avocado,avocado,🥦Veg,pisey,,3,pc,
mushroom,mushroom,🥦Veg,pisey,,1,kg,
aubergine,aubergine,🥦Veg,pisey,,1,kg,
zuchini,zuchini,🥦Veg,pisey,,1,kg,
garlic-white,garlic-white,🥦Veg,pisey,,0.5,kg,
red-onion,red-onion,🥦Veg,pisey,,1,kg,
shallots,shallots,🥦Veg,pisey,,1,kg,
basil,basil,🌿Herbs (fresh),pisey,,0.03,kg,
coriander,coriander,🌿Herbs (fresh),pisey,,0.03,kg,
parsley,parsley,🌿Herbs (fresh),pisey,,0.03,kg,
item_sku,item_name,category,default_supplier,supplier_alternative,order_quantity,measure_unit,default_quantity
coca,coca,🥤Sodas,coca company,,1,Box,
coca-zero,coca-zero,🥤Sodas,coca company,,1,box,
soda,soda,🥤Sodas,coca company,,1,box,
sprite,sprite,🥤Sodas,coca company,,1,box,
fanta,fanta,🥤Sodas,coca company,,1,box,
tonic,tonic,🥤Sodas,coca company,,1,box,
aquarius,aquarius,🥤Sodas,coca company,,1,box,
ginger-ale,ginger-ale,🥤Sodas,coca company,,1,box,
pepsi,pepsi,🥤Sodas,drink shop,,1,box,
puro-big,puro-big,💧Water,angkor company,,1,box,
puro-small,puro-small,💧Water,angkor company,,1,box,
blue-sea-big,blue-sea-big,💧Water,stock,,1,box,
blue-sea-small,blue-sea-small,💧Water,stock,,1,box,
mango-juice,mango-juice,🧃Fruit juices,lees,,1,L,
orange-juice,orange-juice,🧃Fruit juices,lees,,1,L,
cranberry-juice,cranberry-juice,🧃Fruit juices,lees,,1,L,
apple-juice,apple-juice,🧃Fruit juices,lees,,1,L,
caramel,caramel,🧋Syrup,kofi,,1,bt,
vanilla,vanilla,🧋Syrup,kofi,,1,bt,
grenadine,grenadine,🧋Syrup,kofi,,1,bt,
strawberry,strawberry,🧋Syrup,kofi,,1,bt,
lemon,lemon,🧋Syrup,kofi,,1,bt,
mint,mint,🧋Syrup,kofi,,1,bt,
coffee-oro,coffee-oro,☕Coffee,kofi,,1,bt,
fresh-milk,fresh-milk,🥛Milk,baker supplies,,1,box,
sweet-milk,sweet-milk,🥛Milk,pisey,,4,can,
almond-milk,almond-milk,🥛Milk,7 eleven,,1,L,
black-tea,black-tea,🫖Tea,chinese mart,,1,pk,
green-tea,green-tea,🫖Tea,chinese mart,,1,pk,
jasmine-tea,jasmine-tea,🫖Tea,chinese mart,,1,pk,
draft-keg,draft-keg,🍺Beers,angkor company,,3,kegs,
angkor,angkor,🍺Beers,angkor company,,1,box,
cambodia,cambodia,🍺Beers,drink shop,,1,box,
ganzberg,ganzberg,🍺Beers,drink shop,,1,box,
somersby-cider,somersby-cider,🍺Beers,pp distributor,,1,box,
ipa,ipa,🍺Beers,pp distributor,,1,box,
blanc-1664,blanc-1664,🍺Beers,pp distributor,,1,box,
corona,corona,🍺Beers,pp distributor,,1,box,
red-wine,red-wine,🍷Wines,foody,,2,bt,
white-wine,white-wine,🍷Wines,foody,,2,bt,
jinro,jinro,🍷Wines,foody,,1,1 each,
winston,winston,🚬Cigs,drink shop,,1,box,
esse,esse,🚬Cigs,drink shop,,1,box,
mevius,mevius,🚬Cigs,drink shop,,1,box,
jack,jack,🥃Spirits,samu,,1,bt,
jagermeister,jagermeister,🥃Spirits,samu,,1,bt,
tequila,tequila,🥃Spirits,samu,,1,bt,
absolut,absolut,🥃Spirits,samu,,1,bt,
bacardi,bacardi,🥃Spirits,samu,,1,bt,
bailey,bailey,🥃Spirits,samu,,1,bt,
beefeater,beefeater,🥃Spirits,samu,,1,bt,
campari,campari,🥃Spirits,samu,,1,bt,
captain-morgan,captain-morgan,🥃Spirits,samu,,1,bt,
cointreau,cointreau,🥃Spirits,samu,,1,bt,
jameson,jameson,🥃Spirits,samu,,1,bt,
jim-beam,jim-beam,🥃Spirits,samu,,1,bt,
malibu,malibu,🥃Spirits,samu,,1,bt,
bardinet,bardinet,🥃Spirits,samu,,1,bt,
blue-curacao,blue-curacao,🥃Spirits,samu,,1,bt,
peach,peach,🥃Spirits,samu,,1,bt,
🍋‍🟩-lime,🍋‍🟩-lime,🍑Fruits,pisey,,1,kg,
🥭-mango,🥭-mango,🍑Fruits,pisey,,1,kg,
🐉-dragon,🐉-dragon,🍑Fruits,pisey,,1,kg,
🍊-orange,🍊-orange,🍑Fruits,pisey,,1,kg,
🍌-banana,🍌-banana,🍑Fruits,pisey,,1,kg,
🍊-mandarin,🍊-mandarin,🍑Fruits,pisey,,1,kg,
🌿-mint,🌿-mint,🍑Fruits,pisey,,1,kg,
🍋-lemon,🍋-lemon,🍑Fruits,pisey,,1,kg,
🍉-watermelon,🍉-watermelon,🍑Fruits,pisey,,1,kg,
🍏-apple,🍏-apple,🍑Fruits,pisey,,1,kg,
sweet-milk,sweet-milk,🍨Desserts,pisey,,4,can,
chocolate-topping,chocolate-topping,🍨Desserts,pisey,,1,pc,
sugar-sachet,sugar-sachet,🍨Desserts,pisey,,1,bag,
honey,honey,🍨Desserts,pisey,,1,kg,
whipping-cream,whipping-cream,🍨Desserts,foody,,1,small,
vanilla-ice-cream,vanilla-ice-cream,🍨Desserts,foody,,1,pc,
strawberry-ice-cream,strawberry-ice-cream,🍨Desserts,foody,,1,pc,
frozen-strawberries,frozen-strawberries,🍨Desserts,chanorai,,2,pk,
4*14,4*14,🛍️Plastic bag,Takaway shop,,1,pk,
trash-bag,trash-bag,🛍️Plastic bag,pisey,,1,big,
"cup-small-16""",cup-small-16,🛍️Cup,Takaway shop,,2,pk,
"cup-big-22""",cup-big-22,🛍️Cup,Takaway shop,,2,pk,
cup-coffee,cup-coffee,🛍️Cup,pp distributor,,2,pk,
straw-big,straw-big,🛍️Ustensils,baker supplies,,3,pk,
straw-small,straw-small,🛍️Ustensils,baker supplies,,3,pk,
napkin-small,napkin-small,🛍️Ustensils,savuth,,1,bag,
napkin-big,napkin-big,🛍️Ustensils,savuth,,1,bag,
toothpick,toothpick,🛍️Ustensils,Takaway shop,,5,pk,
printer-paper,printer-paper,🖨️Office,stock,,4,pk,
strapples,strapples,🖨️Office,ebc,,1,box,
pens,pens,🖨️Office,ebc,,1,box,
glass-cleaner,glass-cleaner,🧼Cleaning,pisey,,1,big,
floor-cleaner,floor-cleaner,🧼Cleaning,pisey,,1,big,
duck-toilet,duck-toilet,🧼Cleaning,pisey,,1,bt,
peepee-pads,peepee-pads,🧼Cleaning,kitchen equipment,,5,pc,
toilet-paper-roll,toilet-paper-roll,🧼Cleaning,pisey,,4,pk,
hand-towel-napkin,hand-towel-napkin,🧼Cleaning,pisey,,4,pk,
hand-soap,hand-soap,🧼Cleaning,pisey,,2,pc,
perfume-atomizer,perfume-atomizer,🧼Cleaning,pisey,,2,pc,
